Running fetch_all.py...
[1066/2102] 110205 OK
[1067/2102] 110204 OK
[1068/2102] 110201 OK
[1069/2102] 110207 OK
[1070/2102] 110208 OK
[1071/2102] 110209 OK
[1072/2102] 110210 OK
[1073/2102] 110211 OK
[1074/2102] 110212 OK
[1075/2102] 110213 OK
[1076/2102] 110215 OK
[1077/2102] 110214 OK
[1078/2102] 110103 OK
[1079/2102] 110106 OK
[1080/2102] 110107 OK
[1081/2102] 110108 OK
[1082/2102] 110109 OK
[1083/2102] 110112 OK
[1084/2102] 110104 OK
[1085/2102] 110105 OK
[1086/2102] 110113 OK
[1087/2102] 110114 OK
[1088/2102] 110116 OK
[1089/2102] 110118 OK
[1090/2102] 110101 OK
[1091/2102] 110119 OK
[1092/2102] 110120 OK
[1093/2102] 110121 OK
[1094/2102] 110122 OK
[1095/2102] 110123 OK
[1096/2102] 110124 OK
[1097/2102] 110125 OK
[1098/2102] 110126 OK
[1099/2102] 110127 OK
[1100/2102] 110128 OK
[1101/2102] 110131 OK
[1102/2102] 110132 OK
[1103/2102] 110133 OK
[1104/2102] 110134 OK
[1105/2102] 110136 OK
[1106/2102] 110302 OK
[1107/2102] 110303 OK
[1108/2102] 110304 OK
[1109/2102] 110305 OK
[1110/2102] 110331 OK
[1111/2102] 110306 OK
[1112/2102] 110307 OK
[1113/2102] 110308 OK
[1114/2102] 110309 OK
[1115/2102] 110310 OK
[1116/2102] 110301 OK
[1117/2102] 110311 OK
[1118/2102] 110312 OK
[1119/2102] 110313 OK
[1120/2102] 110314 OK
[1121/2102] 110315 OK
[1122/2102] 110332 OK
[1123/2102] 110316 OK
[1124/2102] 110317 OK
[1125/2102] 110318 OK
[1126/2102] 110319 OK
[1127/2102] 110320 OK
[1128/2102] 110321 OK
[1129/2102] 110322 OK
[1130/2102] 110323 OK
[1131/2102] 110324 OK
[1132/2102] 110325 OK
[1133/2102] 110326 OK
[1134/2102] 110327 OK
[1135/2102] 110333 OK
[1136/2102] 110328 OK
[1137/2102] 110329 OK
[1138/2102] 110330 OK
[1139/2102] 110334 OK
[1140/2102] 110402 OK
[1141/2102] 110401 OK
[1142/2102] 110403 OK
[1143/2102] 110404 OK
[1144/2102] 110702 OK
[1145/2102] 110703 OK
[1146/2102] 110704 OK
[1147/2102] 110705 OK
[1148/2102] 110706 OK
[1149/2102] 110707 OK
[1150/2102] 110708 OK
[1151/2102] 110701 OK
[1152/2102] 110709 OK
[1153/2102] 110502 OK
[1154/2102] 110503 OK
[1155/2102] 110504 OK
[1156/2102] 110505 OK
[1157/2102] 110506 OK
[1158/2102] 110507 OK
[1159/2102] 110508 OK
[1160/2102] 110509 OK
[1161/2102] 110501 OK
[1162/2102] 110602 OK
[1163/2102] 110603 OK
[1164/2102] 110601 OK
[1165/2102] 110604 OK
[1166/2102] 110605 OK
[1167/2102] 110606 OK
[1168/2102] 110607 OK
[1169/2102] 110610 OK
[1170/2102] 110608 OK
[1171/2102] 110609 OK
[1172/2102] 120801 OK
[1173/2102] 120808 OK
[1174/2102] 120802 OK
[1175/2102] 120803 OK
[1176/2102] 120805 OK
[1177/2102] 120806 OK
[1178/2102] 120807 OK
[1179/2102] 120804 OK
[1180/2102] 120202 OK
[1181/2102] 120201 OK
[1182/2102] 120203 OK
[1183/2102] 120204 OK
[1184/2102] 120206 OK
[1185/2102] 120205 OK
[1186/2102] 120901 OK
[1187/2102] 120902 OK
[1188/2102] 120903 OK
[1189/2102] 121101 OK
[1190/2102] 121102 OK
[1191/2102] 121103 OK
[1192/2102] 121104 OK
[1193/2102] 121003 OK
[1194/2102] 121002 OK
[1195/2102] 121004 OK
[1196/2102] 121001 OK
[1197/2102] 120402 OK
[1198/2102] 120403 OK
[1199/2102] 120404 OK
[1200/2102] 120405 OK
[1201/2102] 120413 OK
[1202/2102] 120401 OK
[1203/2102] 120408 OK
[1204/2102] 120409 OK
[1205/2102] 120410 OK
[1206/2102] 120411 OK
[1207/2102] 120503 OK
[1208/2102] 120504 OK
[1209/2102] 120506 OK
[1210/2102] 120508 OK
[1211/2102] 120501 OK
[1212/2102] 120602 OK
[1213/2102] 120603 OK
[1214/2102] 120605 OK
[1215/2102] 120604 OK
[1216/2102] 120606 OK
[1217/2102] 120607 OK
[1218/2102] 120608 OK
[1219/2102] 120609 OK
[1220/2102] 120610 OK
[1221/2102] 120613 OK
[1222/2102] 120611 OK
[1223/2102] 120601 OK
[1224/2102] 120612 OK
[1225/2102] 120304 OK
[1226/2102] 120302 OK
[1227/2102] 120303 OK
[1228/2102] 120301 OK
[1229/2102] 120305 OK
[1230/2102] 120306 OK
[1231/2102] 120307 OK
[1232/2102] 120308 OK
[1233/2102] 120708 OK
[1234/2102] 120702 OK
[1235/2102] 120703 OK
[1236/2102] 120704 OK
[1237/2102] 120705 OK
[1238/2102] 120706 OK
[1239/2102] 120701 OK
[1240/2102] 120707 OK
[1241/2102] 120113 OK
[1242/2102] 120110 OK
[1243/2102] 120112 OK
[1244/2102] 120102 OK
[1245/2102] 120111 OK
[1246/2102] 120103 OK
[1247/2102] 120104 OK
[1248/2102] 120109 OK
[1249/2102] 120105 OK
[1250/2102] 120106 OK
[1251/2102] 120101 OK
[1252/2102] 120107 OK
[1253/2102] 121202 OK
[1254/2102] 121203 OK
[1255/2102] 121201 OK
[1256/2102] 130116 OK
[1257/2102] 130101 OK
[1258/2102] 130102 OK
[1259/2102] 130103 OK
[1260/2102] 130104 OK
[1261/2102] 130112 OK
[1262/2102] 130105 OK
[1263/2102] 130115 OK
[1264/2102] 130106 OK
[1265/2102] 130107 OK
[1266/2102] 130108 OK
[1267/2102] 130117 OK
[1268/2102] 130109 OK
[1269/2102] 130110 OK
[1270/2102] 130118 OK
[1271/2102] 130119 OK
[1272/2102] 130111 OK
[1273/2102] 130113 OK
[1274/2102] 130114 OK
[1275/2102] 130120 OK
[1276/2102] 130203 OK
[1277/2102] 130201 OK
[1278/2102] 130202 OK
[1279/2102] 130206 OK
[1280/2102] 130204 OK
[1281/2102] 130205 OK
[1282/2102] 130302 OK
[1283/2102] 130303 OK
[1284/2102] 130304 OK
[1285/2102] 130301 OK
[1286/2102] 130305 OK
[1287/2102] 130306 OK
[1288/2102] 130307 OK
[1289/2102] 130308 OK
[1290/2102] 130309 OK
[1291/2102] 130310 OK
[1292/2102] 130311 OK
[1293/2102] 130312 OK
[1294/2102] 140901 OK
[1295/2102] 140902 OK
[1296/2102] 140903 OK
[1297/2102] 140904 OK
[1298/2102] 140905 OK
[1299/2102] 140201 OK
[1300/2102] 140205 OK
[1301/2102] 140206 OK
[1302/2102] 140207 OK
[1303/2102] 140208 OK
[1304/2102] 140302 OK
[1305/2102] 140301 OK
[1306/2102] 140303 OK
[1307/2102] 140304 OK
[1308/2102] 140305 OK
[1309/2102] 140306 OK
[1310/2102] 140307 OK
[1311/2102] 140416 OK
[1312/2102] 140402 OK
[1313/2102] 140403 OK
[1314/2102] 140405 OK
[1315/2102] 140404 OK
[1316/2102] 140406 OK
[1317/2102] 140407 OK
[1318/2102] 140408 OK
[1319/2102] 140409 OK
[1320/2102] 140410 OK
[1321/2102] 140411 OK
[1322/2102] 140412 OK
[1323/2102] 140413 OK
[1324/2102] 140414 OK
[1325/2102] 140401 OK
[1326/2102] 140415 OK
[1327/2102] 140802 OK
[1328/2102] 140803 OK
[1329/2102] 140804 OK
[1330/2102] 140805 OK
[1331/2102] 140801 OK
[1332/2102] 140806 OK
[1333/2102] 140807 OK
[1334/2102] 140808 OK
[1335/2102] 140809 OK
[1336/2102] 140811 OK
[1337/2102] 140812 OK
[1338/2102] 140810 OK
[1339/2102] 140602 OK
[1340/2102] 140603 OK
[1341/2102] 140604 OK
[1342/2102] 140607 OK
[1343/2102] 140606 OK
[1344/2102] 140630 OK
[1345/2102] 140608 OK
[1346/2102] 140609 OK
[1347/2102] 140610 OK
[1348/2102] 140611 OK
[1349/2102] 140612 OK
[1350/2102] 140601 OK
[1351/2102] 140613 OK
[1352/2102] 140614 OK
[1353/2102] 140615 OK
[1354/2102] 140616 OK
[1355/2102] 140617 OK
[1356/2102] 140618 OK
[1357/2102] 140632 OK
[1358/2102] 140619 OK
[1359/2102] 140620 OK
[1360/2102] 140621 OK
[1361/2102] 140622 OK
[1362/2102] 140605 OK
[1363/2102] 140623 OK
[1364/2102] 140631 OK
[1365/2102] 140624 OK
[1366/2102] 140625 OK
[1367/2102] 140626 OK
[1368/2102] 140627 OK
[1369/2102] 140628 OK
[1370/2102] 140629 OK
[1371/2102] 140502 OK
[1372/2102] 140504 OK
[1373/2102] 140505 OK
[1374/2102] 140501 OK
[1375/2102] 140506 OK
[1376/2102] 140507 OK
[1377/2102] 140508 OK
[1378/2102] 140509 OK
[1379/2102] 140511 OK
[1380/2102] 140512 OK
[1381/2102] 140513 OK
[1382/2102] 140516 OK
[1383/2102] 140102 OK
[1384/2102] 140103 OK
[1385/2102] 140125 OK
[1386/2102] 140104 OK
[1387/2102] 140105 OK
[1388/2102] 140107 OK
[1389/2102] 140108 OK
[1390/2102] 140139 OK
[1391/2102] 140106 OK
[1392/2102] 140135 OK
[1393/2102] 140134 OK
[1394/2102] 140133 OK
[1395/2102] 140110 OK
[1396/2102] 140109 OK
[1397/2102] 140101 OK
[1398/2102] 140111 OK
[1399/2102] 140142 OK
[1400/2102] 140112 OK
[1401/2102] 140113 OK
[1402/2102] 140114 OK
[1403/2102] 140115 OK
[1404/2102] 140116 OK
[1405/2102] 140118 OK
[1406/2102] 140117 OK
[1407/2102] 140119 OK
[1408/2102] 140120 OK
[1409/2102] 140121 OK
[1410/2102] 140122 OK
[1411/2102] 140123 OK
[1412/2102] 140140 OK
[1413/2102] 140124 OK
[1414/2102] 140137 OK
[1415/2102] 140136 OK
[1416/2102] 140138 OK
[1417/2102] 140126 OK
[1418/2102] 140127 OK
[1419/2102] 140143 OK
[1420/2102] 140128 OK
[1421/2102] 140129 OK
[1422/2102] 140130 OK
[1423/2102] 140131 OK
[1424/2102] 140141 OK
[1425/2102] 140132 OK
[1426/2102] 141004 OK
[1427/2102] 141003 OK
[1428/2102] 141006 OK
[1429/2102] 141002 OK
[1430/2102] 141001 OK
[1431/2102] 141005 OK
[1432/2102] 140702 OK
[1433/2102] 140703 OK
[1434/2102] 140704 OK
[1435/2102] 140705 OK
[1436/2102] 140706 OK
[1437/2102] 140707 OK
[1438/2102] 140733 OK
[1439/2102] 140710 OK
[1440/2102] 140708 OK
[1441/2102] 140709 OK
[1442/2102] 140730 OK
[1443/2102] 140711 OK
[1444/2102] 140712 OK
[1445/2102] 140713 OK
[1446/2102] 140714 OK
[1447/2102] 140715 OK
[1448/2102] 140716 OK
[1449/2102] 140717 OK
[1450/2102] 140731 OK
[1451/2102] 140718 OK
[1452/2102] 140719 OK
[1453/2102] 140732 OK
[1454/2102] 140720 OK
[1455/2102] 140721 OK
[1456/2102] 140722 OK
[1457/2102] 140723 OK
[1458/2102] 140724 OK
[1459/2102] 140725 OK
[1460/2102] 140727 OK
[1461/2102] 140726 OK
[1462/2102] 140728 OK
[1463/2102] 140729 OK
[1464/2102] 140701 OK
[1465/2102] 150202 OK
[1466/2102] 150205 OK
[1467/2102] 150206 OK
[1468/2102] 150210 OK
[1469/2102] 150211 OK
[1470/2102] 150201 OK
[1471/2102] 150702 OK
[1472/2102] 150701 OK
[1473/2102] 150703 OK
[1474/2102] 150704 OK
[1475/2102] 150705 OK
[1476/2102] 150706 OK
[1477/2102] 150301 OK
[1478/2102] 150302 OK
[1479/2102] 150303 OK
[1480/2102] 150305 OK
[1481/2102] 150304 OK
[1482/2102] 150602 OK
[1483/2102] 150601 OK
[1484/2102] 150604 OK
[1485/2102] 150605 OK
[1486/2102] 150603 OK
[1487/2102] 150102 OK
[1488/2102] 150112 OK
[1489/2102] 150103 OK
[1490/2102] 150110 OK
[1491/2102] 150101 OK
[1492/2102] 150104 OK
[1493/2102] 150105 OK
[1494/2102] 150106 OK
[1495/2102] 150111 OK
[1496/2102] 150113 OK
[1497/2102] 150108 OK
[1498/2102] 150901 OK
[1499/2102] 150902 OK
[1500/2102] 150903 OK
[1501/2102] 150904 OK
[1502/2102] 150402 OK
[1503/2102] 150403 OK
[1504/2102] 150404 OK
[1505/2102] 150410 OK
[1506/2102] 150405 OK
[1507/2102] 150406 OK
[1508/2102] 150401 OK
[1509/2102] 150407 OK
[1510/2102] 150408 OK
[1511/2102] 150409 OK
[1512/2102] 150411 OK
[1513/2102] 150501 OK
[1514/2102] 150506 OK
[1515/2102] 150503 OK
[1516/2102] 150504 OK
[1517/2102] 150505 OK
[1518/2102] 150502 OK
[1519/2102] 160202 OK
[1520/2102] 160204 OK
[1521/2102] 160203 OK
[1522/2102] 160201 OK
[1523/2102] 160302 OK
[1524/2102] 160301 OK
[1525/2102] 160303 OK
[1526/2102] 160102 OK
[1527/2102] 160104 OK
[1528/2102] 160103 OK
[1529/2102] 160101 OK
[1530/2102] 170203 OK
[1531/2102] 170202 OK
[1532/2102] 170204 OK
[1533/2102] 170205 OK
[1534/2102] 170206 OK
[1535/2102] 170207 OK
[1536/2102] 170201 OK
[1537/2102] 170208 OK
[1538/2102] 170209 OK
[1539/2102] 170210 OK
[1540/2102] 170211 OK
[1541/2102] 170302 OK
[1542/2102] 170301 OK
[1543/2102] 170303 OK
[1544/2102] 170102 OK
[1545/2102] 170103 OK
[1546/2102] 170101 OK
[1547/2102] 170106 OK
[1548/2102] 170107 OK
[1549/2102] 170104 OK
[1550/2102] 170105 OK
[1551/2102] 180202 OK
[1552/2102] 180203 OK
[1553/2102] 180204 OK
[1554/2102] 180205 OK
[1555/2102] 180206 OK
[1556/2102] 180207 OK
[1557/2102] 180208 OK
[1558/2102] 180201 OK
[1559/2102] 180302 OK
[1560/2102] 180308 OK
[1561/2102] 180303 OK
[1562/2102] 180301 OK
[1563/2102] 180307 OK
[1564/2102] 180306 OK
[1565/2102] 180304 OK
[1566/2102] 180305 OK
[1567/2102] 180101 OK
[1568/2102] 180103 OK
[1569/2102] 180104 OK
[1570/2102] 180105 OK
[1571/2102] 180106 OK
[1572/2102] 180107 OK
[1573/2102] 180108 OK
[1574/2102] 180109 OK
[1575/2102] 180110 OK
[1576/2102] 180111 OK
[1577/2102] 180112 OK
[1578/2102] 180113 OK
[1579/2102] 180114 OK
[1580/2102] 190201 OK
[1581/2102] 190202 OK
[1582/2102] 190209 OK
[1583/2102] 190203 OK
[1584/2102] 190204 OK
[1585/2102] 190205 OK
[1586/2102] 190210 OK
[1587/2102] 190206 OK
[1588/2102] 190207 OK
[1589/2102] 190208 OK
[1590/2102] 190302 OK
[1591/2102] 190306 OK
[1592/2102] 190301 OK
[1593/2102] 190303 OK
[1594/2102] 190308 OK
[1595/2102] 190307 OK
[1596/2102] 190304 OK
[1597/2102] 190305 OK
[1598/2102] 190402 OK
[1599/2102] 190403 OK
[1600/2102] 190401 OK
[1601/2102] 190408 OK
[1602/2102] 190404 OK
[1603/2102] 190405 OK
[1604/2102] 190410 OK
[1605/2102] 190406 OK
[1606/2102] 190407 OK
[1607/2102] 190409 OK
[1608/2102] 190502 OK
[1609/2102] 190503 OK
[1610/2102] 190505 OK
[1611/2102] 190504 OK
[1612/2102] 190501 OK
[1613/2102] 190506 OK
[1614/2102] 190507 OK
[1615/2102] 190103 OK
[1616/2102] 190104 OK
[1617/2102] 190113 OK
[1618/2102] 190114 OK
[1619/2102] 190105 OK
[1620/2102] 190107 OK
[1621/2102] 190106 OK
[1622/2102] 190101 OK
[1623/2102] 190109 OK
[1624/2102] 190115 OK
[1625/2102] 190804 OK
[1626/2102] 190803 OK
[1627/2102] 190805 OK
[1628/2102] 190806 OK
[1629/2102] 190801 OK
[1630/2102] 190802 OK
[1631/2102] 190602 OK
[1632/2102] 190608 OK
[1633/2102] 190603 OK
[1634/2102] 190604 OK
[1635/2102] 190605 OK
[1636/2102] 190606 OK
[1637/2102] 190607 OK
[1638/2102] 190601 OK
[1639/2102] 190702 OK
[1640/2102] 190703 OK
[1641/2102] 190704 OK
[1642/2102] 190706 OK
[1643/2102] 190705 OK
[1644/2102] 190701 OK
[1645/2102] 200202 OK
[1646/2102] 200203 OK
[1647/2102] 200204 OK
[1648/2102] 200201 OK
[1649/2102] 200205 OK
[1650/2102] 200206 OK
[1651/2102] 200207 OK
[1652/2102] 200208 OK
[1653/2102] 200210 OK
[1654/2102] 200212 OK
[1655/2102] 200213 OK
[1656/2102] 200214 OK
[1657/2102] 200215 OK
[1658/2102] 200216 OK
[1659/2102] 200217 OK
[1660/2102] 200302 OK
[1661/2102] 200303 OK
[1662/2102] 200304 OK
[1663/2102] 200305 OK
[1664/2102] 200306 OK
[1665/2102] 200307 OK
[1666/2102] 200301 OK
[1667/2102] 200308 OK
[1668/2102] 200309 OK
[1669/2102] 200310 OK
[1670/2102] 200402 OK
[1671/2102] 200403 OK
[1672/2102] 200401 OK
[1673/2102] 200412 OK
[1674/2102] 200406 OK
[1675/2102] 200407 OK
[1676/2102] 200410 OK
[1677/2102] 201204 OK
[1678/2102] 201205 OK
[1679/2102] 201201 OK
[1680/2102] 201202 OK
[1681/2102] 201203 OK
[1682/2102] 200502 OK
[1683/2102] 200501 OK
[1684/2102] 200511 OK
[1685/2102] 200504 OK
[1686/2102] 200506 OK
[1687/2102] 200507 OK
[1688/2102] 200508 OK
[1689/2102] 200509 OK
[1690/2102] 200602 OK
[1691/2102] 200603 OK
[1692/2102] 200601 OK
[1693/2102] 200604 OK
[1694/2102] 200605 OK
[1695/2102] 200606 OK
[1696/2102] 200607 OK
[1697/2102] 200608 OK
[1698/2102] 200609 OK
[1699/2102] 200610 OK
[1700/2102] 200702 OK
[1701/2102] 200701 OK
[1702/2102] 200703 OK
[1703/2102] 200704 OK
[1704/2102] 200705 OK
[1705/2102] 200706 OK
[1706/2102] 200707 OK
[1707/2102] 200708 OK
[1708/2102] 200709 OK
[1709/2102] 201302 OK
[1710/2102] 201304 OK
[1711/2102] 201301 OK
[1712/2102] 201303 OK
[1713/2102] 200102 OK
[1714/2102] 200115 OK
[1715/2102] 200103 OK
[1716/2102] 200104 OK
[1717/2102] 200106 OK
[1718/2102] 200105 OK
[1719/2102] 200107 OK
[1720/2102] 200108 OK
[1721/2102] 200109 OK
[1722/2102] 200110 OK
[1723/2102] 200114 OK
[1724/2102] 200101 OK
[1725/2102] 200111 OK
[1726/2102] 200112 OK
[1727/2102] 200113 OK
[1728/2102] 201104 OK
[1729/2102] 201102 OK
[1730/2102] 201101 OK
[1731/2102] 201103 OK
[1732/2102] 201105 OK
[1733/2102] 200811 OK
[1734/2102] 200803 OK
[1735/2102] 200804 OK
[1736/2102] 200806 OK
[1737/2102] 200805 OK
[1738/2102] 200807 OK
[1739/2102] 200801 OK
[1740/2102] 200808 OK
[1741/2102] 200812 OK
[1742/2102] 200810 OK
[1743/2102] 200902 OK
[1744/2102] 200903 OK
[1745/2102] 200904 OK
[1746/2102] 200901 OK
[1747/2102] 200905 OK
[1748/2102] 201003 OK
[1749/2102] 201004 OK
[1750/2102] 201005 OK
[1751/2102] 201006 OK
[1752/2102] 201007 OK
[1753/2102] 201002 OK
[1754/2102] 201001 OK
[1755/2102] 210704 OK
[1756/2102] 210706 OK
[1757/2102] 210701 OK
[1758/2102] 210705 OK
[1759/2102] 210703 OK
[1760/2102] 210702 OK
[1761/2102] 211002 OK
[1762/2102] 211001 OK
[1763/2102] 211004 OK
[1764/2102] 211005 OK
[1765/2102] 211003 OK
[1766/2102] 210205 OK
[1767/2102] 210206 OK
[1768/2102] 210202 OK
[1769/2102] 210203 OK
[1770/2102] 210201 OK
[1771/2102] 210204 OK
[1772/2102] 210315 OK
[1773/2102] 210303 OK
[1774/2102] 210304 OK
[1775/2102] 210305 OK
[1776/2102] 210301 OK
[1777/2102] 210306 OK
[1778/2102] 210307 OK
[1779/2102] 210316 OK
[1780/2102] 210311 OK
[1781/2102] 210313 OK
[1782/2102] 210314 OK
[1783/2102] 210402 OK
[1784/2102] 210403 OK
[1785/2102] 210401 OK
[1786/2102] 210404 OK
[1787/2102] 210405 OK
[1788/2102] 210102 OK
[1789/2102] 210103 OK
[1790/2102] 210104 OK
[1791/2102] 210101 OK
[1792/2102] 210105 OK
[1793/2102] 210106 OK
[1794/2102] 210902 OK
[1795/2102] 210903 OK
[1796/2102] 210901 OK
[1797/2102] 210904 OK
[1798/2102] 210905 OK
[1799/2102] 210906 OK
[1800/2102] 210907 OK
[1801/2102] 210910 OK
[1802/2102] 210908 OK
[1803/2102] 210909 OK
[1804/2102] 210509 OK
[1805/2102] 210506 OK
[1806/2102] 210505 OK
[1807/2102] 210508 OK
[1808/2102] 210502 OK
[1809/2102] 210501 OK
[1810/2102] 210507 OK
[1811/2102] 210503 OK
[1812/2102] 210504 OK
[1813/2102] 210602 OK
[1814/2102] 210604 OK
[1815/2102] 210606 OK
[1816/2102] 210607 OK
[1817/2102] 210608 OK
[1818/2102] 210609 OK
[1819/2102] 210610 OK
[1820/2102] 210621 OK
[1821/2102] 210611 OK
[1822/2102] 210612 OK
[1823/2102] 210616 OK
[1824/2102] 210619 OK
[1825/2102] 210620 OK
[1826/2102] 210601 OK
[1827/2102] 210802 OK
[1828/2102] 210803 OK
[1829/2102] 210806 OK
[1830/2102] 210804 OK
[1831/2102] 210801 OK
[1832/2102] 210805 OK
[1833/2102] 220402 OK
[1834/2102] 220406 OK
[1835/2102] 220401 OK
[1836/2102] 220403 OK
[1837/2102] 220404 OK
[1838/2102] 220405 OK
[1839/2102] 220303 OK
[1840/2102] 220302 OK
[1841/2102] 220301 OK
[1842/2102] 220111 OK
[1843/2102] 220102 OK
[1844/2102] 220112 OK
[1845/2102] 220113 OK
[1846/2102] 220104 OK
[1847/2102] 220114 OK
[1848/2102] 220107 OK
[1849/2102] 220108 OK
[1850/2102] 220109 OK
[1851/2102] 220110 OK
[1852/2102] 220101 OK
[1853/2102] 220206 OK
[1854/2102] 220207 OK
[1855/2102] 220205 OK
[1856/2102] 220210 OK
[1857/2102] 220211 OK
[1858/2102] 220201 OK
[1859/2102] 220212 OK
[1860/2102] 220213 OK
[1861/2102] 230203 OK
[1862/2102] 230202 OK
[1863/2102] 230201 OK
[1864/2102] 230102 OK
[1865/2102] 230103 OK
[1866/2102] 230104 OK
[1867/2102] 230105 OK
[1868/2102] 230106 OK
[1869/2102] 230101 OK
[1870/2102] 230304 OK
[1871/2102] 230302 OK
[1872/2102] 230303 OK
[1873/2102] 230301 OK
[1874/2102] 250301 OK
[1875/2102] 250304 OK
[1876/2102] 250302 OK
[1877/2102] 250303 OK
[1878/2102] 250101 OK
[1879/2102] 250104 OK
[1880/2102] 250105 OK
[1881/2102] 250107 OK
[1882/2102] 250103 OK
[1883/2102] 250106 OK
[1884/2102] 250102 OK
[1885/2102] 250205 OK
[1886/2102] 250206 OK
[1887/2102] 250203 OK
[1888/2102] 250207 OK
[1889/2102] 250202 OK
[1890/2102] 250204 OK
[1891/2102] 250201 OK
[1892/2102] 250401 OK
[1893/2102] 910101 OK
[1894/2102] 911201 OK
[1895/2102] 910401 OK
[1896/2102] 910502 OK
[1897/2102] 910302 OK
[1898/2102] 910603 OK
[1899/2102] 920101 OK
[1900/2102] 920202 OK
[1901/2102] 920224 OK
[1902/2102] 920203 OK
[1903/2102] 920204 OK
[1904/2102] 920205 OK
[1905/2102] 920226 OK
[1906/2102] 920206 OK
[1907/2102] 920207 OK
[1908/2102] 920208 OK
[1909/2102] 920210 OK
[1910/2102] 920219 OK
[1911/2102] 920401 OK
[1912/2102] 920403 OK
[1913/2102] 920405 OK
[1914/2102] 920502 OK
[1915/2102] 920503 OK
[1916/2102] 920504 OK
[1917/2102] 920536 OK
[1918/2102] 920532 OK
[1919/2102] 920505 OK
[1920/2102] 920506 OK
[1921/2102] 920508 OK
[1922/2102] 920509 OK
[1923/2102] 920511 OK
[1924/2102] 920510 OK
[1925/2102] 920608 OK
[1926/2102] 920601 OK
[1927/2102] 920602 OK
[1928/2102] 920603 OK
[1929/2102] 920604 OK
[1930/2102] 920605 OK
[1931/2102] 921001 OK
[1932/2102] 921002 OK
[1933/2102] 921003 OK
[1934/2102] 921026 OK
[1935/2102] 921005 OK
[1936/2102] 921006 OK
[1937/2102] 921007 OK
[1938/2102] 920701 OK
[1939/2102] 920702 OK
[1940/2102] 920709 OK
[1941/2102] 920703 OK
[1942/2102] 920737 OK
[1943/2102] 920705 OK
[1944/2102] 920706 OK
[1945/2102] 920717 OK
[1946/2102] 920803 OK
[1947/2102] 920901 OK
[1948/2102] 921110 OK
[1949/2102] 921101 OK
[1950/2102] 921102 OK
[1951/2102] 921104 OK
[1952/2102] 921105 OK
[1953/2102] 921201 OK
[1954/2102] 921381 OK
[1955/2102] 921303 OK
[1956/2102] 921350 OK
[1957/2102] 921304 OK
[1958/2102] 921373 OK
[1959/2102] 921308 OK
[1960/2102] 921385 OK
[1961/2102] 921313 OK
[1962/2102] 921315 OK
[1963/2102] 921317 OK
[1964/2102] 921335 OK
[1965/2102] 921318 OK
[1966/2102] 921319 OK
[1967/2102] 921322 OK
[1968/2102] 921320 OK
[1969/2102] 921372 OK
[1970/2102] 921374 OK
[1971/2102] 921323 OK
[1972/2102] 921324 OK
[1973/2102] 921325 OK
[1974/2102] 921328 OK
[1975/2102] 921331 OK
[1976/2102] 921501 OK
[1977/2102] 923001 OK
[1978/2102] 921701 OK
[1979/2102] 921902 OK
[1980/2102] 921901 OK
[1981/2102] 921903 OK
[1982/2102] 922001 OK
[1983/2102] 922103 OK
[1984/2102] 922102 OK
[1985/2102] 922101 OK
[1986/2102] 922108 OK
[1987/2102] 922201 OK
[1988/2102] 922303 OK
[1989/2102] 922403 OK
[1990/2102] 922401 OK
[1991/2102] 922601 OK
[1992/2102] 922701 OK
[1993/2102] 922802 OK
[1994/2102] 931904 OK
[1995/2102] 933801 OK
[1996/2102] 933702 OK
[1997/2102] 933701 OK
[1998/2102] 933201 OK
[1999/2102] 930402 OK
[2000/2102] 931101 OK
[2001/2102] 932401 OK
[2002/2102] 930603 OK
[2003/2102] 930602 OK
[2004/2102] 930705 OK
[2005/2102] 930721 OK
[2006/2102] 930709 OK
[2007/2102] 930731 OK
[2008/2102] 930727 OK
[2009/2102] 930713 OK
[2010/2102] 930704 OK
[2011/2102] 930720 OK
[2012/2102] 930736 OK
[2013/2102] 930726 OK
[2014/2102] 930703 OK
[2015/2102] 931302 OK
[2016/2102] 932801 OK
[2017/2102] 930801 OK
[2018/2102] 933001 OK
[2019/2102] 930101 OK
[2020/2102] 930201 OK
[2021/2102] 930232 OK
[2022/2102] 930226 OK
[2023/2102] 930206 OK
[2024/2102] 932501 OK
[2025/2102] 931001 OK
[2026/2102] 931503 OK
[2027/2102] 931501 OK
[2028/2102] 932002 OK
[2029/2102] 940201 OK
[2030/2102] 940203 OK
[2031/2102] 940213 OK
[2032/2102] 940205 OK
[2033/2102] 940206 OK
[2034/2102] 940245 OK
[2035/2102] 940302 OK
[2036/2102] 940401 OK
[2037/2102] 940402 OK
[2038/2102] 940403 OK
[2039/2102] 940404 OK
[2040/2102] 943601 OK
[2041/2102] 940801 OK
[2042/2102] 940935 OK
[2043/2102] 940902 OK
[2044/2102] 940903 OK
[2045/2102] 940909 OK
[2046/2102] 940910 OK
[2047/2102] 940911 OK
[2048/2102] 940913 OK
[2049/2102] 940931 OK
[2050/2102] 940905 OK
[2051/2102] 940918 OK
[2052/2102] 940915 OK
[2053/2102] 940920 OK
[2054/2102] 940922 OK
[2055/2102] 940917 OK
[2056/2102] 941001 OK
[2057/2102] 941101 OK
[2058/2102] 941103 OK
[2059/2102] 941105 OK
[2060/2102] 941106 OK
[2061/2102] 941107 OK
[2062/2102] 941108 OK
[2063/2102] 941110 OK
[2064/2102] 941204 OK
