Running fetch_all.py...
[245/2102] 021504 OK
[246/2102] 021505 OK
[247/2102] 021506 OK
[248/2102] 021507 OK
[249/2102] 021508 OK
[250/2102] 021501 OK
[251/2102] 030101 OK
[252/2102] 030104 OK
[253/2102] 030102 OK
[254/2102] 030103 OK
[255/2102] 030105 OK
[256/2102] 030106 OK
[257/2102] 030107 OK
[258/2102] 030108 OK
[259/2102] 030109 OK
[260/2102] 030301 OK
[261/2102] 030302 OK
[262/2102] 030303 OK
[263/2102] 030304 OK
[264/2102] 030305 OK
[265/2102] 030317 OK
[266/2102] 030320 OK
[267/2102] 030319 OK
[268/2102] 030306 OK
[269/2102] 030307 OK
[270/2102] 030313 OK
[271/2102] 030308 OK
[272/2102] 030314 OK
[273/2102] 030309 OK
[274/2102] 030310 OK
[275/2102] 030318 OK
[276/2102] 030315 OK
[277/2102] 030311 OK
[278/2102] 030316 OK
[279/2102] 030312 OK
[280/2102] 030401 OK
[281/2102] 030402 OK
[282/2102] 030403 OK
[283/2102] 030404 OK
[284/2102] 030405 OK
[285/2102] 030406 OK
[286/2102] 030407 OK
[287/2102] 030202 OK
[288/2102] 030203 OK
[289/2102] 030201 OK
[290/2102] 030206 OK
[291/2102] 030204 OK
[292/2102] 030205 OK
[293/2102] 030207 OK
[294/2102] 030217 OK
[295/2102] 030208 OK
[296/2102] 030209 OK
[297/2102] 030216 OK
[298/2102] 030210 OK
[299/2102] 030211 OK
[300/2102] 030212 OK
[301/2102] 030213 OK
[302/2102] 030214 OK
[303/2102] 030215 OK
[304/2102] 030712 OK
[305/2102] 030705 OK
[306/2102] 030701 OK
[307/2102] 030704 OK
[308/2102] 030710 OK
[309/2102] 030706 OK
[310/2102] 030711 OK
[311/2102] 030703 OK
[312/2102] 030702 OK
[313/2102] 030708 OK
[314/2102] 030709 OK
[315/2102] 030707 OK
[316/2102] 030506 OK
[317/2102] 030503 OK
[318/2102] 030502 OK
[319/2102] 030504 OK
[320/2102] 030505 OK
[321/2102] 030501 OK
[322/2102] 030601 OK
[323/2102] 030614 OK
[324/2102] 030602 OK
[325/2102] 030605 OK
[326/2102] 030603 OK
[327/2102] 030604 OK
[328/2102] 030606 OK
[329/2102] 030608 OK
[330/2102] 030607 OK
[331/2102] 030609 OK
[332/2102] 030613 OK
[333/2102] 030610 OK
[334/2102] 030611 OK
[335/2102] 030612 OK
[336/2102] 040128 OK
[337/2102] 040101 OK
[338/2102] 040102 OK
[339/2102] 040103 OK
[340/2102] 040104 OK
[341/2102] 040105 OK
[342/2102] 040127 OK
[343/2102] 040129 OK
[344/2102] 040106 OK
[345/2102] 040126 OK
[346/2102] 040107 OK
[347/2102] 040108 OK
[348/2102] 040109 OK
[349/2102] 040110 OK
[350/2102] 040111 OK
[351/2102] 040112 OK
[352/2102] 040113 OK
[353/2102] 040114 OK
[354/2102] 040115 OK
[355/2102] 040116 OK
[356/2102] 040117 OK
[357/2102] 040118 OK
[358/2102] 040119 OK
[359/2102] 040120 OK
[360/2102] 040121 OK
[361/2102] 040122 OK
[362/2102] 040123 OK
[363/2102] 040124 OK
[364/2102] 040125 OK
[365/2102] 040301 OK
[366/2102] 040302 OK
[367/2102] 040303 OK
[368/2102] 040304 OK
[369/2102] 040305 OK
[370/2102] 040306 OK
[371/2102] 040307 OK
[372/2102] 040308 OK
[373/2102] 040402 OK
[374/2102] 040403 OK
[375/2102] 040404 OK
[376/2102] 040405 OK
[377/2102] 040406 OK
[378/2102] 040401 OK
