departamento,provincia,distrito,ubigeo,pct_nulos,votos_nulos,votos_emitidos,lider,votos_lider
LORETO,PUTUMAYO,YAGUAS,150904,10.38,22,212,KEIKO SOFIA FUJIMORI HIGUCHI,99
CAJAMARCA,CAJABAMBA,CAJABAMBA,060201,10.34,2146,20751,ROBERTO HELBERT SANCHEZ PALOMINO,3994
LIMA,HUAROCHIRÍ,SAN JUAN DE TANTARANCHE,140619,10.34,24,232,KEIKO SOFIA FUJIMORI HIGUCHI,57
AYACUCHO,VÍCTOR FAJARDO,COLCA,050707,10.32,88,853,ROBERTO HELBERT SANCHEZ PALOMINO,224
LIMA,CAJATAMBO,HUANCAPON,140207,10.3,48,466,KEIKO SOFIA FUJIMORI HIGUCHI,103
AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,010502,10.29,56,544,KEIKO SOFIA FUJIMORI HIGUCHI,78
JUNÍN,TARMA,SAN PEDRO DE CAJAS,110508,10.29,212,2060,KEIKO SOFIA FUJIMORI HIGUCHI,469
ÁNCASH,CORONGO,LA PAMPA,020605,10.27,60,584,KEIKO SOFIA FUJIMORI HIGUCHI,113
HUÁNUCO,HUAMALIES,JACAS GRANDE,090404,10.21,290,2841,ROBERTO HELBERT SANCHEZ PALOMINO,888
ÁNCASH,HUAYLAS,MATO,020705,10.18,122,1199,KEIKO SOFIA FUJIMORI HIGUCHI,277
HUÁNUCO,AMBO,SAN FRANCISCO,090206,10.14,121,1193,ROBERTO HELBERT SANCHEZ PALOMINO,298
AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,010504,10.09,174,1725,KEIKO SOFIA FUJIMORI HIGUCHI,311
LA LIBERTAD,OTUZCO,AGALLPAMPA,120402,10.06,472,4693,ROBERTO HELBERT SANCHEZ PALOMINO,1110
AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,010509,10.05,403,4009,ROBERTO HELBERT SANCHEZ PALOMINO,994
JUNÍN,JAUJA,JANJAILLO,110310,10.04,46,458,PABLO ALFONSO LOPEZ CHAU NAVA,64
CAJAMARCA,SANTA CRUZ,UTICYACU,060908,10.02,66,659,ROBERTO HELBERT SANCHEZ PALOMINO,254
JUNÍN,CONCEPCIÓN,CHAMBARA,110206,10.02,189,1887,KEIKO SOFIA FUJIMORI HIGUCHI,364
SAN MARTÍN,EL DORADO,SHATOJA,211003,10.01,197,1969,ROBERTO HELBERT SANCHEZ PALOMINO,662
LAMBAYEQUE,CHICLAYO,TUMÁN,130120,9.99,1740,17409,KEIKO SOFIA FUJIMORI HIGUCHI,2628
LA LIBERTAD,OTUZCO,MACHE,120413,9.98,201,2014,KEIKO SOFIA FUJIMORI HIGUCHI,307
ÁNCASH,SIHUAS,RAGASH,021409,9.97,148,1484,ROBERTO HELBERT SANCHEZ PALOMINO,372
CAJAMARCA,CAJABAMBA,CACHACHI,060202,9.94,853,8582,ROBERTO HELBERT SANCHEZ PALOMINO,2738
LA LIBERTAD,SÁNCHEZ CARRIÓN,CHUGAY,120304,9.93,773,7782,ROBERTO HELBERT SANCHEZ PALOMINO,2105
SAN MARTÍN,EL DORADO,SAN MARTÍN,211004,9.93,518,5214,ROBERTO HELBERT SANCHEZ PALOMINO,1934
CAJAMARCA,CAJAMARCA,MATARA,060110,9.92,255,2571,ROBERTO HELBERT SANCHEZ PALOMINO,576
LA LIBERTAD,PATAZ,TAYABAMBA,120601,9.86,554,5618,ROBERTO HELBERT SANCHEZ PALOMINO,1511
AMAZONAS,LUYA,OCUMAL,010413,9.85,191,1940,KEIKO SOFIA FUJIMORI HIGUCHI,387
HUÁNUCO,HUACAYBAMBA,HUACAYBAMBA,090901,9.85,195,1979,ROBERTO HELBERT SANCHEZ PALOMINO,639
CAJAMARCA,SAN MARCOS,JOSÉ MANUEL QUIRÓZ,061204,9.84,161,1636,ROBERTO HELBERT SANCHEZ PALOMINO,472
HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,080707,9.84,241,2449,ROBERTO HELBERT SANCHEZ PALOMINO,712
AMÉRICA,CHILE,CONCEPCIÓN,921003,9.84,12,122,KEIKO SOFIA FUJIMORI HIGUCHI,18
LAMBAYEQUE,CHICLAYO,POMALCA,130118,9.83,1568,15944,KEIKO SOFIA FUJIMORI HIGUCHI,2474
PIURA,PIURA,TAMBO GRANDE,190109,9.81,6054,61683,KEIKO SOFIA FUJIMORI HIGUCHI,16672
JUNÍN,JAUJA,RICRAN,110325,9.8,69,704,KEIKO SOFIA FUJIMORI HIGUCHI,122
LA LIBERTAD,GRAN CHIMÚ,LUCMA,121102,9.8,185,1887,KEIKO SOFIA FUJIMORI HIGUCHI,545
PIURA,HUANCABAMBA,HUARMACA,190303,9.8,1510,15401,ROBERTO HELBERT SANCHEZ PALOMINO,5998
CAJAMARCA,CAJABAMBA,CONDEBAMBA,060203,9.79,665,6792,ROBERTO HELBERT SANCHEZ PALOMINO,2030
CAJAMARCA,SANTA CRUZ,NINABAMBA,060905,9.76,115,1178,ROBERTO HELBERT SANCHEZ PALOMINO,420
ÁNCASH,POMABAMBA,POMABAMBA,021101,9.75,649,6659,ROBERTO HELBERT SANCHEZ PALOMINO,2075
CUSCO,CALCA,PISAC,070405,9.75,693,7111,ROBERTO HELBERT SANCHEZ PALOMINO,1449
AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,010505,9.74,92,945,KEIKO SOFIA FUJIMORI HIGUCHI,97
SAN MARTÍN,LAMAS,ZAPATERO,210314,9.7,342,3526,KEIKO SOFIA FUJIMORI HIGUCHI,791
AMAZONAS,LUYA,PISUQUIA,010414,9.69,161,1661,ROBERTO HELBERT SANCHEZ PALOMINO,341
JUNÍN,JAUJA,SINCOS,110328,9.68,225,2325,KEIKO SOFIA FUJIMORI HIGUCHI,461
HUÁNUCO,HUACAYBAMBA,CANCHABAMBA,090903,9.67,101,1044,ROBERTO HELBERT SANCHEZ PALOMINO,418
AMAZONAS,CHACHAPOYAS,CHETO,010104,9.66,46,476,RICARDO PABLO BELMONT CASSINELLI,87
ÁNCASH,SIHUAS,SAN JUAN,021410,9.66,318,3291,ROBERTO HELBERT SANCHEZ PALOMINO,834
ÁNCASH,PALLASCA,CONCHUCOS,021003,9.65,273,2830,ROBERTO HELBERT SANCHEZ PALOMINO,649
JUNÍN,HUANCAYO,CHONGOS ALTO,110109,9.64,86,892,PABLO ALFONSO LOPEZ CHAU NAVA,134
AMÉRICA,CHILE,ANTOFAGASTA,921001,9.64,193,2002,KEIKO SOFIA FUJIMORI HIGUCHI,244
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,9.63,47,488,KEIKO SOFIA FUJIMORI HIGUCHI,100
ÁNCASH,HUAYLAS,HUATA,020703,9.63,95,987,KEIKO SOFIA FUJIMORI HIGUCHI,232
AMAZONAS,BONGARÁ,CUISPES,010303,9.61,59,614,ROBERTO HELBERT SANCHEZ PALOMINO,143
LA LIBERTAD,SÁNCHEZ CARRIÓN,COCHORCO,120302,9.59,371,3868,ROBERTO HELBERT SANCHEZ PALOMINO,1335
CAJAMARCA,SAN MARCOS,ICHOCÁN,061202,9.56,133,1391,ROBERTO HELBERT SANCHEZ PALOMINO,313
AMÉRICA,CHILE,SANTIAGO,921006,9.56,757,7915,KEIKO SOFIA FUJIMORI HIGUCHI,1219
CUSCO,CALCA,LARES,070404,9.55,389,4072,ROBERTO HELBERT SANCHEZ PALOMINO,1281
ÁNCASH,YUNGAY,RANRAHIRCA,021506,9.52,223,2342,ROBERTO HELBERT SANCHEZ PALOMINO,463
AMAZONAS,BONGARÁ,CHISQUILLA,010304,9.51,27,284,KEIKO SOFIA FUJIMORI HIGUCHI,54
AMAZONAS,RODRÍGUEZ DE MENDOZA,SANTA ROSA,010510,9.51,41,431,KEIKO SOFIA FUJIMORI HIGUCHI,78
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,120708,9.51,202,2123,ROBERTO HELBERT SANCHEZ PALOMINO,411
PIURA,HUANCABAMBA,HUANCABAMBA,190301,9.5,1367,14386,ROBERTO HELBERT SANCHEZ PALOMINO,3809
CAJAMARCA,CAJABAMBA,SITACOCHA,060205,9.48,288,3038,KEIKO SOFIA FUJIMORI HIGUCHI,708
SAN MARTÍN,SAN MARTÍN,CACATACHI,210604,9.48,251,2648,KEIKO SOFIA FUJIMORI HIGUCHI,378
PIURA,PIURA,LA ARENA,190105,9.46,1957,20688,KEIKO SOFIA FUJIMORI HIGUCHI,3962
AMAZONAS,LUYA,OCALLI,010412,9.43,188,1993,ROBERTO HELBERT SANCHEZ PALOMINO,570
HUANCAVELICA,CHURCAMPA,CHURCAMPA,080701,9.41,231,2455,ROBERTO HELBERT SANCHEZ PALOMINO,686
AMÉRICA,ECUADOR,QUITO,921105,9.38,96,1023,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,190
AMAZONAS,LUYA,SANTO TOMÁS,010420,9.37,148,1580,KEIKO SOFIA FUJIMORI HIGUCHI,290
ÁNCASH,HUAYLAS,HUAYLAS,020704,9.36,90,962,KEIKO SOFIA FUJIMORI HIGUCHI,229
SAN MARTÍN,LAMAS,PINTO RECODO,210306,9.36,379,4047,ROBERTO HELBERT SANCHEZ PALOMINO,1066
ÁNCASH,SIHUAS,CHINGALPO,021403,9.35,46,492,ROBERTO HELBERT SANCHEZ PALOMINO,91
AMÉRICA,ECUADOR,GUAYAQUIL,921101,9.35,93,995,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,245
ÁNCASH,ANTONIO RAIMONDI,CHACCHO,021603,9.33,32,343,ROBERTO HELBERT SANCHEZ PALOMINO,79
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,120701,9.33,1068,11449,ROBERTO HELBERT SANCHEZ PALOMINO,2575
ÁNCASH,SANTA,SANTA,021307,9.32,1673,17943,KEIKO SOFIA FUJIMORI HIGUCHI,3073
CAJAMARCA,CELENDÍN,CORTEGANA,060302,9.32,227,2436,ROBERTO HELBERT SANCHEZ PALOMINO,1287
HUANCAVELICA,CHURCAMPA,LOCROJA,080706,9.31,179,1923,ROBERTO HELBERT SANCHEZ PALOMINO,788
LORETO,MAYNAS,TORRES CAUSANA,150108,9.31,155,1664,ROBERTO HELBERT SANCHEZ PALOMINO,273
LIMA,CAJATAMBO,CAJATAMBO,140201,9.3,91,979,KEIKO SOFIA FUJIMORI HIGUCHI,135
UCAYALI,ATALAYA,SEPAHUA,250304,9.28,256,2758,KEIKO SOFIA FUJIMORI HIGUCHI,757
ÁNCASH,YUNGAY,YANAMA,021508,9.27,275,2966,ROBERTO HELBERT SANCHEZ PALOMINO,669
AREQUIPA,CAYLLOMA,TISCO,040217,9.27,78,841,ROBERTO HELBERT SANCHEZ PALOMINO,205
AREQUIPA,LA UNIÓN,ALCA,040802,9.27,90,971,ROBERTO HELBERT SANCHEZ PALOMINO,234
AYACUCHO,CANGALLO,MARÍA PARADO DE BELLIDO,050211,9.25,119,1287,ROBERTO HELBERT SANCHEZ PALOMINO,422
LORETO,MARISCAL RAMÓN CASTILLA,RAMÓN CASTILLA,150601,9.24,796,8613,KEIKO SOFIA FUJIMORI HIGUCHI,2917
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,9.24,44,476,RICARDO PABLO BELMONT CASSINELLI,63
CUSCO,URUBAMBA,OLLANTAYTAMBO,071306,9.23,656,7105,ROBERTO HELBERT SANCHEZ PALOMINO,1334
APURÍMAC,ABANCAY,SAN PEDRO DE CACHORA,030108,9.22,172,1865,ROBERTO HELBERT SANCHEZ PALOMINO,419
CAJAMARCA,CAJAMARCA,ASUNCIÓN,060102,9.22,400,4340,ROBERTO HELBERT SANCHEZ PALOMINO,1594
LIMA,YAUYOS,HONGOS,140730,9.22,26,282,KEIKO SOFIA FUJIMORI HIGUCHI,62
LA LIBERTAD,PATAZ,HUAYO,120606,9.21,144,1564,ROBERTO HELBERT SANCHEZ PALOMINO,359
LA LIBERTAD,PATAZ,CHILLIA,120603,9.2,485,5270,ROBERTO HELBERT SANCHEZ PALOMINO,1097
PIURA,HUANCABAMBA,SONDOR,190304,9.14,283,3096,ROBERTO HELBERT SANCHEZ PALOMINO,1280
ÁNCASH,CARHUAZ,MARCARA,020406,9.13,636,6967,ROBERTO HELBERT SANCHEZ PALOMINO,1371
SAN MARTÍN,SAN MARTÍN,CHAZUTA,210606,9.13,431,4719,KEIKO SOFIA FUJIMORI HIGUCHI,880
ÁNCASH,POMABAMBA,QUINUABAMBA,021104,9.11,69,757,ROBERTO HELBERT SANCHEZ PALOMINO,171
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,120705,9.07,532,5863,ROBERTO HELBERT SANCHEZ PALOMINO,1103
ÁNCASH,CARHUAZ,SHILLA,020409,9.04,210,2324,ROBERTO HELBERT SANCHEZ PALOMINO,699
PIURA,PAITA,LA HUACA,190504,9.04,754,8339,KEIKO SOFIA FUJIMORI HIGUCHI,1504
AMÉRICA,ARGENTINA,CÓRDOBA,920203,9.03,243,2692,KEIKO SOFIA FUJIMORI HIGUCHI,403
APURÍMAC,CHINCHEROS,RANRACANCHA,030708,9.0,208,2310,ROBERTO HELBERT SANCHEZ PALOMINO,1133
LA LIBERTAD,OTUZCO,CHARAT,120403,8.99,116,1291,KEIKO SOFIA FUJIMORI HIGUCHI,285
APURÍMAC,COTABAMBAS,TAMBOBAMBA,030501,8.98,521,5804,ROBERTO HELBERT SANCHEZ PALOMINO,1772
ÁNCASH,HUAYLAS,CARAZ,020701,8.97,1392,15511,KEIKO SOFIA FUJIMORI HIGUCHI,2855
HUÁNUCO,DOS DE MAYO,SHUNQUI,090321,8.97,106,1182,ROBERTO HELBERT SANCHEZ PALOMINO,355
LIMA,YAUYOS,VIÑAC,140728,8.97,97,1081,ROBERTO HELBERT SANCHEZ PALOMINO,261
SAN MARTÍN,LAMAS,CUÑUMBUQUI,210305,8.97,266,2967,KEIKO SOFIA FUJIMORI HIGUCHI,753
HUÁNUCO,MARAÑÓN,HUACRACHUCO,090501,8.96,515,5745,ROBERTO HELBERT SANCHEZ PALOMINO,1386
HUÁNUCO,MARAÑÓN,SAN BUENAVENTURA,090505,8.96,92,1027,ROBERTO HELBERT SANCHEZ PALOMINO,268
CUSCO,CALCA,LAMAY,070403,8.95,334,3733,ROBERTO HELBERT SANCHEZ PALOMINO,899
PUNO,YUNGUYO,UNICACHI,201002,8.95,29,324,ROBERTO HELBERT SANCHEZ PALOMINO,69
JUNÍN,TARMA,HUASAHUASI,110504,8.94,521,5827,KEIKO SOFIA FUJIMORI HIGUCHI,1073
ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,021606,8.91,48,539,ROBERTO HELBERT SANCHEZ PALOMINO,195
AYACUCHO,VÍCTOR FAJARDO,ASQUIPATA,050715,8.9,17,191,ROBERTO HELBERT SANCHEZ PALOMINO,44
AMAZONAS,BONGARÁ,VALERA,010310,8.89,68,765,KEIKO SOFIA FUJIMORI HIGUCHI,193
SAN MARTÍN,PICOTA,TINGO DE PONASA,210908,8.89,140,1575,KEIKO SOFIA FUJIMORI HIGUCHI,279
CUSCO,PAUCARTAMBO,COLQUEPATA,071103,8.88,536,6038,ROBERTO HELBERT SANCHEZ PALOMINO,2374
LA LIBERTAD,PATAZ,URPAY,120612,8.88,110,1239,ROBERTO HELBERT SANCHEZ PALOMINO,312
CAJAMARCA,CAJAMARCA,SAN JUAN,060112,8.82,309,3503,ROBERTO HELBERT SANCHEZ PALOMINO,1086
CAJAMARCA,CONTUMAZA,GUZMANGO,060404,8.82,123,1395,ROBERTO HELBERT SANCHEZ PALOMINO,559
CUSCO,CHUMBIVILCAS,CAPACMARCA,070702,8.82,270,3060,ROBERTO HELBERT SANCHEZ PALOMINO,779
JUNÍN,CONCEPCIÓN,ACO,110202,8.8,100,1137,KEIKO SOFIA FUJIMORI HIGUCHI,233
JUNÍN,HUANCAYO,HUACRAPUQUIO,110114,8.8,92,1045,KEIKO SOFIA FUJIMORI HIGUCHI,173
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEPATA,120704,8.8,108,1227,ROBERTO HELBERT SANCHEZ PALOMINO,246
LA LIBERTAD,BOLÍVAR,BOLÍVAR,120201,8.79,138,1570,ROBERTO HELBERT SANCHEZ PALOMINO,250
ÁNCASH,HUARAZ,OLLEROS,020108,8.76,169,1930,ROBERTO HELBERT SANCHEZ PALOMINO,395
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,040601,8.76,162,1850,ROBERTO HELBERT SANCHEZ PALOMINO,242
CUSCO,PAUCARTAMBO,PAUCARTAMBO,071101,8.73,693,7934,ROBERTO HELBERT SANCHEZ PALOMINO,2514
ÁNCASH,YUNGAY,MANCOS,021503,8.72,381,4369,ROBERTO HELBERT SANCHEZ PALOMINO,866
HUÁNUCO,AMBO,TOMAY - KICHWA,090208,8.72,227,2602,KEIKO SOFIA FUJIMORI HIGUCHI,458
LORETO,ALTO AMAZONAS,TENIENTE CÉSAR LÓPEZ ROJAS,150211,8.72,234,2685,ROBERTO HELBERT SANCHEZ PALOMINO,675
ÁNCASH,CARLOS FERMÍN FITZCARRALD,SAN LUIS,021701,8.71,421,4833,ROBERTO HELBERT SANCHEZ PALOMINO,1119
ÁNCASH,PALLASCA,PALLASCA,021008,8.71,117,1344,ROBERTO HELBERT SANCHEZ PALOMINO,342
CAJAMARCA,CAJAMARCA,CHETILLA,060104,8.7,192,2208,ROBERTO HELBERT SANCHEZ PALOMINO,1079
LA LIBERTAD,PATAZ,PARCOY,120608,8.69,546,6283,ROBERTO HELBERT SANCHEZ PALOMINO,1370
CUSCO,ANTA,CHINCHAYPUJIO,070302,8.68,288,3317,ROBERTO HELBERT SANCHEZ PALOMINO,702
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,010416,8.67,34,392,ROBERTO HELBERT SANCHEZ PALOMINO,56
PUNO,YUNGUYO,OLLARAYA,201006,8.67,134,1545,ROBERTO HELBERT SANCHEZ PALOMINO,247
SAN MARTÍN,LAMAS,RUMISAPA,210307,8.67,221,2548,KEIKO SOFIA FUJIMORI HIGUCHI,607
ÁNCASH,POMABAMBA,HUAYLLAN,021102,8.66,142,1640,ROBERTO HELBERT SANCHEZ PALOMINO,631
LA LIBERTAD,JULCÁN,CARABAMBA,121002,8.66,318,3673,KEIKO SOFIA FUJIMORI HIGUCHI,713
SAN MARTÍN,LAMAS,BARRANQUITA,210303,8.65,332,3838,ROBERTO HELBERT SANCHEZ PALOMINO,892
JUNÍN,JAUJA,HUARIPAMPA,110308,8.64,62,718,PABLO ALFONSO LOPEZ CHAU NAVA,129
LA LIBERTAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,120301,8.62,3378,39198,ROBERTO HELBERT SANCHEZ PALOMINO,7369
AMAZONAS,BONGARÁ,FLORIDA,010306,8.61,302,3507,ROBERTO HELBERT SANCHEZ PALOMINO,898
CUSCO,QUISPICANCHI,QUIQUIJANA,071212,8.54,557,6526,ROBERTO HELBERT SANCHEZ PALOMINO,2169
AYACUCHO,LA MAR,ORONCCOY,050411,8.53,32,375,ROBERTO HELBERT SANCHEZ PALOMINO,143
LA LIBERTAD,OTUZCO,SINSICAP,120410,8.53,259,3037,ROBERTO HELBERT SANCHEZ PALOMINO,885
CUSCO,ACOMAYO,ACOMAYO,070201,8.52,251,2945,ROBERTO HELBERT SANCHEZ PALOMINO,578
HUANCAVELICA,ANGARAES,CALLANMARCA,080303,8.52,42,493,ROBERTO HELBERT SANCHEZ PALOMINO,167
LA LIBERTAD,BOLÍVAR,UCHUMARCA,120206,8.52,78,915,ROBERTO HELBERT SANCHEZ PALOMINO,247
JUNÍN,TARMA,TAPO,110509,8.51,226,2656,ROBERTO HELBERT SANCHEZ PALOMINO,645
SAN MARTÍN,BELLAVISTA,SAN PABLO,210703,8.51,442,5195,ROBERTO HELBERT SANCHEZ PALOMINO,1295
LA LIBERTAD,OTUZCO,SALPO,120409,8.49,195,2296,KEIKO SOFIA FUJIMORI HIGUCHI,391
LA LIBERTAD,PATAZ,ONGON,120607,8.49,37,436,ROBERTO HELBERT SANCHEZ PALOMINO,59
AMAZONAS,LUYA,LONYA CHICO,010408,8.48,43,507,KEIKO SOFIA FUJIMORI HIGUCHI,105
CAJAMARCA,CONTUMAZA,CONTUMAZA,060401,8.48,296,3491,ROBERTO HELBERT SANCHEZ PALOMINO,977
JUNÍN,HUANCAYO,COLCA,110104,8.48,62,731,KEIKO SOFIA FUJIMORI HIGUCHI,87
SAN MARTÍN,MOYOBAMBA,YANTALÓ,210106,8.48,199,2347,ROBERTO HELBERT SANCHEZ PALOMINO,454
PIURA,SULLANA,BELLAVISTA,190602,8.47,2002,23647,KEIKO SOFIA FUJIMORI HIGUCHI,7996
ÁNCASH,CORONGO,ACO,020602,8.45,18,213,GEORGE PATRICK FORSYTH SOMMER,46
HUÁNUCO,HUAMALIES,PUÑOS,090409,8.45,214,2534,ROBERTO HELBERT SANCHEZ PALOMINO,839
JUNÍN,HUANCAYO,QUICHUAY,110125,8.45,86,1018,KEIKO SOFIA FUJIMORI HIGUCHI,149
SAN MARTÍN,SAN MARTÍN,JUAN GUERRA,210610,8.44,259,3069,KEIKO SOFIA FUJIMORI HIGUCHI,517
CUSCO,ANTA,LIMATAMBO,070304,8.43,488,5791,ROBERTO HELBERT SANCHEZ PALOMINO,1256
LORETO,ALTO AMAZONAS,JEBEROS,150205,8.42,107,1271,ROBERTO HELBERT SANCHEZ PALOMINO,285
JUNÍN,JUNÍN,ULCUMAYO,110404,8.4,210,2499,ROBERTO HELBERT SANCHEZ PALOMINO,783
PUNO,CARABAYA,AJOYANI,200302,8.4,156,1857,RICARDO PABLO BELMONT CASSINELLI,386
LAMBAYEQUE,CHICLAYO,PICSÍ,130109,8.38,494,5892,KEIKO SOFIA FUJIMORI HIGUCHI,1304
ÁNCASH,CARLOS FERMÍN FITZCARRALD,YAUYA,021702,8.36,142,1698,ROBERTO HELBERT SANCHEZ PALOMINO,490
ÁNCASH,MARISCAL LUZURIAGA,LLAMA,020905,8.36,51,610,ROBERTO HELBERT SANCHEZ PALOMINO,144
AMAZONAS,BONGARÁ,SHIPASBAMBA,010309,8.35,87,1042,ROBERTO HELBERT SANCHEZ PALOMINO,291
CAJAMARCA,CELENDÍN,OXAMARCA,060308,8.34,193,2314,ROBERTO HELBERT SANCHEZ PALOMINO,1162
LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS,120613,8.34,93,1115,ROBERTO HELBERT SANCHEZ PALOMINO,221
PUNO,HUANCANÉ,HUATASANI,200511,8.33,157,1884,ROBERTO HELBERT SANCHEZ PALOMINO,644
HUÁNUCO,LEONCIO PRADO,PUCAYACU,090607,8.32,161,1935,ROBERTO HELBERT SANCHEZ PALOMINO,585
PUNO,EL COLLAO,CAPASO,201204,8.32,42,505,ROBERTO HELBERT SANCHEZ PALOMINO,156
ÁNCASH,HUAYLAS,PUEBLO LIBRE,020707,8.3,418,5035,KEIKO SOFIA FUJIMORI HIGUCHI,1113
ÁNCASH,CARHUAZ,ATAQUERO,020405,8.29,81,977,ROBERTO HELBERT SANCHEZ PALOMINO,200
CUSCO,CALCA,SAN SALVADOR,070406,8.28,327,3951,ROBERTO HELBERT SANCHEZ PALOMINO,1089
SAN MARTÍN,LAMAS,ALONSO DE ALVARADO,210315,8.28,678,8193,ROBERTO HELBERT SANCHEZ PALOMINO,2478
AYACUCHO,PARINACOCHAS,CHUMPI,050605,8.27,103,1245,ROBERTO HELBERT SANCHEZ PALOMINO,460
PIURA,PAITA,PAITA,190501,8.27,4117,49807,KEIKO SOFIA FUJIMORI HIGUCHI,10933
PIURA,SULLANA,SULLANA,190601,8.27,8877,107338,KEIKO SOFIA FUJIMORI HIGUCHI,28063
ÁNCASH,ASUNCIÓN,CHACAS,021801,8.24,172,2088,PABLO ALFONSO LOPEZ CHAU NAVA,280
AREQUIPA,CONDESUYOS,ANDARAY,040602,8.24,29,352,ROBERTO HELBERT SANCHEZ PALOMINO,83
CUSCO,QUISPICANCHI,CCATCA,071205,8.23,534,6486,ROBERTO HELBERT SANCHEZ PALOMINO,2414
JUNÍN,CHUPACA,SAN JUAN DE JARPA,110907,8.23,158,1919,ROBERTO HELBERT SANCHEZ PALOMINO,297
CUSCO,PARURO,OMACHA,071006,8.21,237,2888,ROBERTO HELBERT SANCHEZ PALOMINO,955
AMAZONAS,LUYA,CAMPORREDONDO,010402,8.2,299,3648,ROBERTO HELBERT SANCHEZ PALOMINO,1229
SAN MARTÍN,HUALLAGA,ALTO SAPOSOA,210205,8.2,168,2048,ROBERTO HELBERT SANCHEZ PALOMINO,504
ÁNCASH,RECUAY,HUAYLLAPAMPA,021203,8.19,38,464,PABLO ALFONSO LOPEZ CHAU NAVA,78
CUSCO,CANCHIS,COMBAPATA,070602,8.19,267,3260,ROBERTO HELBERT SANCHEZ PALOMINO,836
LA LIBERTAD,PATAZ,PATAZ,120609,8.19,251,3064,ROBERTO HELBERT SANCHEZ PALOMINO,858
LIMA,YAUYOS,TAURIPAMPA,140725,8.18,35,428,ROBERTO HELBERT SANCHEZ PALOMINO,166
CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,061205,8.16,131,1605,ROBERTO HELBERT SANCHEZ PALOMINO,497
HUÁNUCO,HUAMALIES,JIRCÁN,090405,8.16,47,576,ROBERTO HELBERT SANCHEZ PALOMINO,125
LAMBAYEQUE,FERREÑAFE,MANUEL ANTONIO MESONES MURO,130206,8.14,223,2738,KEIKO SOFIA FUJIMORI HIGUCHI,756
PIURA,SULLANA,MIGUEL CHECA,190605,8.14,452,5555,KEIKO SOFIA FUJIMORI HIGUCHI,1297
PIURA,TALARA,PARIÑAS,190701,8.14,4272,52451,KEIKO SOFIA FUJIMORI HIGUCHI,7300
LA LIBERTAD,JULCÁN,HUASO,121004,8.13,198,2435,ROBERTO HELBERT SANCHEZ PALOMINO,817
UCAYALI,PADRE ABAD,NESHUYA,250204,8.13,412,5065,ROBERTO HELBERT SANCHEZ PALOMINO,896
CAJAMARCA,SAN MARCOS,GREGORIO PITA,061203,8.12,249,3065,ROBERTO HELBERT SANCHEZ PALOMINO,1106
PUNO,HUANCANÉ,ROSASPATA,200507,8.12,229,2820,ROBERTO HELBERT SANCHEZ PALOMINO,912
CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,061201,8.11,879,10837,ROBERTO HELBERT SANCHEZ PALOMINO,3233
LA LIBERTAD,JULCÁN,CALAMARCA,121003,8.1,217,2678,ROBERTO HELBERT SANCHEZ PALOMINO,807
APURÍMAC,COTABAMBAS,HAQUIRA,030504,8.08,394,4878,ROBERTO HELBERT SANCHEZ PALOMINO,1980
CUSCO,CUSCO,CCORCA,070102,8.08,164,2030,ROBERTO HELBERT SANCHEZ PALOMINO,596
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,120703,8.08,73,903,KEIKO SOFIA FUJIMORI HIGUCHI,186
PUNO,YUNGUYO,CUTURAPI,201005,8.08,55,681,ROBERTO HELBERT SANCHEZ PALOMINO,130
PIURA,PAITA,VICHAYAL,190507,8.07,293,3629,KEIKO SOFIA FUJIMORI HIGUCHI,897
AMAZONAS,BONGARÁ,SAN CARLOS,010308,8.06,34,422,ROBERTO HELBERT SANCHEZ PALOMINO,80
CAJAMARCA,CUTERVO,CALLAYUC,060502,8.06,260,3226,ROBERTO HELBERT SANCHEZ PALOMINO,1482
LA LIBERTAD,PATAZ,BULDIBUYO,120602,8.06,146,1812,ROBERTO HELBERT SANCHEZ PALOMINO,506
LAMBAYEQUE,CHICLAYO,PÁTAPO,130117,8.06,1143,14176,KEIKO SOFIA FUJIMORI HIGUCHI,3372
