departamento,provincia,distrito,ubigeo,pct_nulos,votos_nulos,votos_emitidos,lider,votos_lider
CAJAMARCA,CUTERVO,SANTA CRUZ,060511,5.2,57,1097,ROBERTO HELBERT SANCHEZ PALOMINO,473
JUNÍN,YAULI,PACCHA,110606,5.2,54,1038,PABLO ALFONSO LOPEZ CHAU NAVA,136
CAJAMARCA,CHOTA,CHALAMARCA,060619,5.19,297,5726,ROBERTO HELBERT SANCHEZ PALOMINO,3446
HUANCAVELICA,CHURCAMPA,ANCO,080702,5.19,129,2485,ROBERTO HELBERT SANCHEZ PALOMINO,1076
LORETO,ALTO AMAZONAS,LAGUNAS,150206,5.19,237,4566,CESAR ACUÑA PERALTA,815
PUNO,MELGAR,CUPI,200703,5.19,75,1444,ROBERTO HELBERT SANCHEZ PALOMINO,314
PUNO,MELGAR,ORURILLO,200707,5.19,243,4682,ROBERTO HELBERT SANCHEZ PALOMINO,1556
AREQUIPA,CARAVELÍ,ATICO,040403,5.18,154,2975,KEIKO SOFIA FUJIMORI HIGUCHI,500
CAJAMARCA,CHOTA,PIÓN,060613,5.18,27,521,ROBERTO HELBERT SANCHEZ PALOMINO,261
HUANCAVELICA,ACOBAMBA,PAUCARA,080206,5.18,261,5040,ROBERTO HELBERT SANCHEZ PALOMINO,2270
AYACUCHO,LA MAR,RÍO MAGDALENA,050415,5.17,37,715,ROBERTO HELBERT SANCHEZ PALOMINO,239
JUNÍN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,110131,5.17,118,2283,ROBERTO HELBERT SANCHEZ PALOMINO,796
APURÍMAC,AYMARAES,POCOHUANCA,030209,5.16,47,910,ROBERTO HELBERT SANCHEZ PALOMINO,367
AREQUIPA,CAMANÁ,NICOLÁS DE PIEROLA,040305,5.16,249,4823,KEIKO SOFIA FUJIMORI HIGUCHI,587
AREQUIPA,CAYLLOMA,CHIVAY,040201,5.16,186,3602,RICARDO PABLO BELMONT CASSINELLI,652
ICA,CHINCHA,PUEBLO NUEVO,100210,5.16,1569,30421,KEIKO SOFIA FUJIMORI HIGUCHI,5564
LA LIBERTAD,ASCOPE,RÁZURI,120807,5.16,272,5272,KEIKO SOFIA FUJIMORI HIGUCHI,1164
LA LIBERTAD,TRUJILLO,LA ESPERANZA,120111,5.16,5268,102066,KEIKO SOFIA FUJIMORI HIGUCHI,17780
AYACUCHO,HUANTA,CHACA,050313,5.15,63,1223,ROBERTO HELBERT SANCHEZ PALOMINO,423
LORETO,MAYNAS,NAPO,150106,5.15,167,3244,JOSE LEON LUNA GALVEZ,495
PUNO,PUNO,TIQUILLACA,200112,5.15,100,1940,YONHY LESCANO ANCIETA,398
ÁNCASH,HUARMEY,MALVAS,021904,5.14,15,292,RICARDO PABLO BELMONT CASSINELLI,51
AREQUIPA,AREQUIPA,CHIGUATA,040105,5.14,181,3524,ROBERTO HELBERT SANCHEZ PALOMINO,552
ICA,PISCO,SAN CLEMENTE,100407,5.14,729,14179,KEIKO SOFIA FUJIMORI HIGUCHI,2382
JUNÍN,CONCEPCIÓN,NUEVE DE JULIO,110212,5.14,73,1419,KEIKO SOFIA FUJIMORI HIGUCHI,258
LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,120113,5.14,837,16275,KEIKO SOFIA FUJIMORI HIGUCHI,3002
LIMA,HUAROCHIRÍ,SAN LORENZO DE QUINTI,140620,5.14,30,584,KEIKO SOFIA FUJIMORI HIGUCHI,113
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,160103,5.14,377,7328,ROBERTO HELBERT SANCHEZ PALOMINO,1469
PUNO,AZÁNGARO,AZÁNGARO,200201,5.14,1007,19581,ROBERTO HELBERT SANCHEZ PALOMINO,6234
ÁNCASH,HUARI,HUACACHI,020804,5.13,65,1267,ROBERTO HELBERT SANCHEZ PALOMINO,473
HUÁNUCO,PUERTO INCA,YUYAPICHIS,090805,5.13,157,3060,ROBERTO HELBERT SANCHEZ PALOMINO,703
PUNO,MELGAR,SANTA ROSA,200708,5.13,193,3763,ROBERTO HELBERT SANCHEZ PALOMINO,711
PUNO,SAN ROMÁN,CARACOTO,200904,5.13,504,9831,ROBERTO HELBERT SANCHEZ PALOMINO,1958
ÁNCASH,SANTA,NEPEÑA,021305,5.12,423,8257,ROBERTO HELBERT SANCHEZ PALOMINO,1220
APURÍMAC,GRAU,VIRUNDO,030612,5.12,17,332,ROBERTO HELBERT SANCHEZ PALOMINO,187
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,080102,5.12,61,1191,ROBERTO HELBERT SANCHEZ PALOMINO,423
ICA,CHINCHA,CHINCHA ALTA,100201,5.12,2518,49160,KEIKO SOFIA FUJIMORI HIGUCHI,8666
LAMBAYEQUE,CHICLAYO,REQUE,130111,5.12,549,10726,KEIKO SOFIA FUJIMORI HIGUCHI,2493
LIMA,CANTA,CANTA,140301,5.12,98,1915,KEIKO SOFIA FUJIMORI HIGUCHI,376
PIURA,MORROPÓN,LA MATANZA,190408,5.12,499,9747,KEIKO SOFIA FUJIMORI HIGUCHI,2047
APURÍMAC,ANDAHUAYLAS,CHIARA,030303,5.11,41,803,ROBERTO HELBERT SANCHEZ PALOMINO,371
CUSCO,ACOMAYO,ACOPIA,070202,5.11,76,1486,RICARDO PABLO BELMONT CASSINELLI,416
JUNÍN,JAUJA,YAUYOS,110334,5.11,269,5260,PABLO ALFONSO LOPEZ CHAU NAVA,694
PIURA,MORROPÓN,SANTA CATALINA DE MOSSA,190406,5.11,113,2213,ROBERTO HELBERT SANCHEZ PALOMINO,550
AMÉRICA,BRASIL,SAO PAULO,920510,5.11,140,2742,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,464
ÁNCASH,HUARAZ,COCHABAMBA,020103,5.1,34,667,ROBERTO HELBERT SANCHEZ PALOMINO,134
APURÍMAC,ABANCAY,HUANIPACA,030105,5.1,118,2314,ROBERTO HELBERT SANCHEZ PALOMINO,673
AREQUIPA,CAYLLOMA,CALLALLI,040205,5.1,63,1236,ROBERTO HELBERT SANCHEZ PALOMINO,267
AREQUIPA,CAYLLOMA,HUANCA,040208,5.1,56,1097,ROBERTO HELBERT SANCHEZ PALOMINO,238
CAJAMARCA,CAJAMARCA,NAMORA,060111,5.1,347,6810,ROBERTO HELBERT SANCHEZ PALOMINO,2411
HUÁNUCO,AMBO,SAN RAFAEL,090207,5.1,258,5061,ROBERTO HELBERT SANCHEZ PALOMINO,2232
CAJAMARCA,CELENDÍN,MIGUEL IGLESIAS,060307,5.09,90,1769,ROBERTO HELBERT SANCHEZ PALOMINO,977
JUNÍN,CHANCHAMAYO,PICHANAQUI,110805,5.09,1296,25471,ROBERTO HELBERT SANCHEZ PALOMINO,4385
JUNÍN,JAUJA,MUQUIYAUYO,110319,5.09,78,1531,PABLO ALFONSO LOPEZ CHAU NAVA,293
PUNO,PUNO,PAUCARCOLLA,200109,5.09,201,3949,ROBERTO HELBERT SANCHEZ PALOMINO,733
TUMBES,ZARUMILLA,PAPAYAL,230303,5.09,208,4089,KEIKO SOFIA FUJIMORI HIGUCHI,1662
APURÍMAC,GRAU,MAMARA,030604,5.08,21,413,ROBERTO HELBERT SANCHEZ PALOMINO,145
HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,080414,5.08,25,492,ROBERTO HELBERT SANCHEZ PALOMINO,119
ICA,PISCO,SAN ANDRÉS,100406,5.08,534,10521,KEIKO SOFIA FUJIMORI HIGUCHI,2317
APURÍMAC,AYMARAES,COLCABAMBA,030204,5.07,29,572,ROBERTO HELBERT SANCHEZ PALOMINO,126
APURÍMAC,AYMARAES,COTARUSE,030205,5.07,108,2129,ROBERTO HELBERT SANCHEZ PALOMINO,527
CUSCO,LA CONVENCIÓN,MARANURA,070904,5.07,204,4023,PABLO ALFONSO LOPEZ CHAU NAVA,710
HUANCAVELICA,HUAYTARA,SAN ISIDRO,080612,5.07,28,552,ROBERTO HELBERT SANCHEZ PALOMINO,108
LAMBAYEQUE,CHICLAYO,MONSEFÚ,130106,5.07,1216,23961,KEIKO SOFIA FUJIMORI HIGUCHI,7619
PASCO,PASCO,YANACANCHA,180114,5.07,620,12217,PABLO ALFONSO LOPEZ CHAU NAVA,1598
PUNO,SANDIA,SAN JUAN DEL ORO,200808,5.07,103,2030,ROBERTO HELBERT SANCHEZ PALOMINO,554
AREQUIPA,CAMANÁ,OCOÑA,040306,5.06,129,2549,KEIKO SOFIA FUJIMORI HIGUCHI,478
CAJAMARCA,CHOTA,CHIGUIRIP,060606,5.06,115,2273,ROBERTO HELBERT SANCHEZ PALOMINO,1358
JUNÍN,JAUJA,JAUJA,110301,5.06,491,9707,PABLO ALFONSO LOPEZ CHAU NAVA,1475
MADRE DE DIOS,MANÚ,MADRE DE DIOS,160203,5.06,221,4371,ROBERTO HELBERT SANCHEZ PALOMINO,1313
PUNO,MELGAR,AYAVIRI,200701,5.06,730,14439,RICARDO PABLO BELMONT CASSINELLI,2547
APURÍMAC,ANDAHUAYLAS,KAQUIABAMBA,030319,5.05,68,1347,ROBERTO HELBERT SANCHEZ PALOMINO,586
AREQUIPA,CASTILLA,HUANCARQUI,040507,5.05,70,1387,JORGE NIETO MONTESINOS,172
ICA,ICA,SALAS,100106,5.05,804,15925,ROBERTO HELBERT SANCHEZ PALOMINO,2384
APURÍMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,030309,5.04,88,1746,ROBERTO HELBERT SANCHEZ PALOMINO,731
APURÍMAC,ANTABAMBA,SABAINO,030407,5.04,43,853,ROBERTO HELBERT SANCHEZ PALOMINO,368
AYACUCHO,VÍCTOR FAJARDO,HUALLA,050708,5.04,58,1151,ROBERTO HELBERT SANCHEZ PALOMINO,329
PUNO,CHUCUITO,JULI,200401,5.04,671,13326,ROBERTO HELBERT SANCHEZ PALOMINO,3156
AREQUIPA,CAYLLOMA,CABANACONDE,040203,5.03,67,1333,PABLO ALFONSO LOPEZ CHAU NAVA,229
AREQUIPA,LA UNIÓN,SAYLA,040808,5.03,8,159,ROBERTO HELBERT SANCHEZ PALOMINO,44
CUSCO,ANTA,CACHIMAYO,070308,5.03,85,1689,PABLO ALFONSO LOPEZ CHAU NAVA,276
CUSCO,ESPINAR,COPORAQUE,070803,5.03,541,10752,ROBERTO HELBERT SANCHEZ PALOMINO,3409
LA LIBERTAD,PATAZ,TAURIJA,120611,5.03,65,1291,ROBERTO HELBERT SANCHEZ PALOMINO,440
LORETO,MARISCAL RAMÓN CASTILLA,PEBAS,150602,5.03,185,3675,KEIKO SOFIA FUJIMORI HIGUCHI,1100
APURÍMAC,ABANCAY,TAMBURCO,030109,5.02,340,6777,ROBERTO HELBERT SANCHEZ PALOMINO,1272
ICA,NASCA,NASCA,100301,5.02,809,16106,KEIKO SOFIA FUJIMORI HIGUCHI,2875
JUNÍN,JAUJA,MONOBAMBA,110317,5.02,46,917,KEIKO SOFIA FUJIMORI HIGUCHI,270
LA LIBERTAD,BOLÍVAR,LONGOTEA,120204,5.02,39,777,KEIKO SOFIA FUJIMORI HIGUCHI,145
LA LIBERTAD,SANTIAGO DE CHUCO,SITABAMBA,120707,5.02,79,1574,ROBERTO HELBERT SANCHEZ PALOMINO,458
PIURA,MORROPÓN,BUENOS AIRES,190402,5.02,297,5914,KEIKO SOFIA FUJIMORI HIGUCHI,2158
ÁNCASH,ANTONIO RAIMONDI,ACZO,021602,5.01,34,678,ROBERTO HELBERT SANCHEZ PALOMINO,259
ÁNCASH,BOLOGNESI,CHIQUIAN,020301,5.01,102,2035,PABLO ALFONSO LOPEZ CHAU NAVA,333
ÁNCASH,RECUAY,CATAC,021210,5.01,143,2856,PABLO ALFONSO LOPEZ CHAU NAVA,544
AREQUIPA,AREQUIPA,LA JOYA,040106,5.01,1187,23677,ROBERTO HELBERT SANCHEZ PALOMINO,4854
CAJAMARCA,CUTERVO,TORIBIO CASANOVA,060515,5.01,34,679,ROBERTO HELBERT SANCHEZ PALOMINO,207
CAJAMARCA,SAN IGNACIO,NAMBALLE,061104,5.01,229,4573,ROBERTO HELBERT SANCHEZ PALOMINO,1930
JUNÍN,CHANCHAMAYO,VITOC,110803,5.01,67,1337,KEIKO SOFIA FUJIMORI HIGUCHI,243
JUNÍN,HUANCAYO,PUCARA,110124,5.01,196,3914,ROBERTO HELBERT SANCHEZ PALOMINO,690
PIURA,PIURA,PIURA,190101,5.01,5362,107123,KEIKO SOFIA FUJIMORI HIGUCHI,17400
PUNO,AZÁNGARO,SAN JUAN DE SALINAS,200215,5.01,134,2672,ROBERTO HELBERT SANCHEZ PALOMINO,964
CAJAMARCA,SAN IGNACIO,TABACONAS,061107,5.0,462,9234,ROBERTO HELBERT SANCHEZ PALOMINO,5204
HUANCAVELICA,ANGARAES,ANCHONGA,080302,5.0,184,3677,ROBERTO HELBERT SANCHEZ PALOMINO,1809
